Quarter,Entidad,Salario Mensual,Ultimo salario
2025-Q1,Aguascalientes,6310.2828,7461.339508
2025-Q1,Baja California,7586.180613,7732.949522
2025-Q1,Baja California Sur,13822.80002,14457.19879
2025-Q1,Campeche,11826.41466,11373.24718
2025-Q1,Coahuila de Zaragoza,11396.19914,11960.16563
2025-Q1,Colima,9227.379272,8781.131221
2025-Q1,Chiapas,9207.28573,10043.65518
2025-Q1,Chihuahua,9479.442487,8881.789655
2025-Q1,Ciudad de México,8234.58756,7424.579016
2025-Q1,Durango,10002.24352,9692.693235
2025-Q1,Guanajuato,5254.762724,5223.381537
2025-Q1,Guerrero,8578.459852,7289.779876
2025-Q1,Hidalgo,7313.207762,9338.513022
2025-Q1,Jalisco,6416.791367,6137.473975
2025-Q1,Estado de México,3727.85157,3503.65972
2025-Q1,Michoacán de Ocampo,7596.223662,8637.175642
2025-Q1,Morelos,2565.41085,2860.296405
2025-Q1,Nayarit,12820.49544,11722.68515
2025-Q1,Nuevo León,9713.111981,10963.83569
2025-Q1,Oaxaca,6927.029893,7281.153398
2025-Q1,Puebla,6757.026135,7272.187297
2025-Q1,Querétaro,4697.836403,4175.007667
2025-Q1,Quintana Roo,9843.481826,8771.463422
2025-Q1,San Luis Potosí,6422.650866,7477.81541
2025-Q1,Sinaloa,10842.61545,10710.16237
2025-Q1,Sonora,8507.225306,8581.490458
2025-Q1,Tabasco,9135.921584,8584.640813
2025-Q1,Tamaulipas,10243.55797,10585.10874
2025-Q1,Tlaxcala,7851.864822,7399.638036
2025-Q1,Veracruz de Ignacio de la Llave,7412.211711,8161.512631
2025-Q1,Yucatán,9497.043294,10406.12932
2025-Q1,Zacatecas,7968.179425,7821.107005
